MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,BldgType,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrType,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,target
20.0,RL,70.0,11200.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,5.0,5.0,1965.0,1965.0,None,0.0,TA,TA,TA,TA,No,906.0,0.0,134.0,1040.0,Ex,Y,1040.0,0.0,0.0,1040.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,5.0,0.0,1965.0,Unf,1.0,384.0,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,2.0,2008.0,129500.0
60.0,RL,85.0,11924.0,Pave,,IR1,Lvl,AllPub,Inside,Gtl,1Fam,9.0,5.0,2005.0,2006.0,Stone,286.0,Ex,TA,Ex,TA,No,998.0,0.0,177.0,1175.0,Ex,Y,1182.0,1142.0,0.0,2324.0,1.0,0.0,3.0,0.0,4.0,1.0,Ex,11.0,2.0,2005.0,Fin,3.0,736.0,Y,147.0,21.0,0.0,0.0,0.0,0.0,,,,0.0,7.0,2006.0,345000.0
20.0,RL,,12968.0,Pave,,IR2,Lvl,AllPub,Inside,Gtl,1Fam,5.0,6.0,1962.0,1962.0,None,0.0,TA,TA,TA,TA,No,737.0,0.0,175.0,912.0,TA,Y,912.0,0.0,0.0,912.0,1.0,0.0,1.0,0.0,2.0,1.0,TA,4.0,0.0,1962.0,Unf,1.0,352.0,Y,140.0,0.0,0.0,0.0,176.0,0.0,,,,0.0,9.0,2008.0,144000.0
20.0,RL,91.0,10652.0,Pave,,IR1,Lvl,AllPub,Inside,Gtl,1Fam,7.0,5.0,2006.0,2007.0,Stone,306.0,Gd,TA,Gd,TA,Av,0.0,0.0,1494.0,1494.0,Ex,Y,1494.0,0.0,0.0,1494.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,1.0,2006.0,RFn,3.0,840.0,Y,160.0,33.0,0.0,0.0,0.0,0.0,,,,0.0,8.0,2007.0,279500.0
20.0,RL,,10920.0,Pave,,IR1,Lvl,AllPub,Corner,Gtl,1Fam,6.0,5.0,1960.0,1960.0,BrkFace,212.0,TA,TA,TA,TA,No,733.0,0.0,520.0,1253.0,TA,Y,1253.0,0.0,0.0,1253.0,1.0,0.0,1.0,1.0,2.0,1.0,TA,5.0,1.0,1960.0,RFn,1.0,352.0,Y,0.0,213.0,176.0,0.0,0.0,0.0,,GdWo,,0.0,5.0,2008.0,157000.0
45.0,RM,51.0,6120.0,Pave,,Reg,Lvl,AllPub,Corner,Gtl,1Fam,7.0,8.0,1929.0,2001.0,None,0.0,TA,TA,TA,TA,No,0.0,0.0,832.0,832.0,Ex,Y,854.0,0.0,0.0,854.0,0.0,0.0,1.0,0.0,2.0,1.0,TA,5.0,0.0,1991.0,Unf,2.0,576.0,Y,48.0,112.0,0.0,0.0,0.0,0.0,,GdPrv,,0.0,7.0,2007.0,132000.0
20.0,RL,,11241.0,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,6.0,7.0,1970.0,1970.0,BrkFace,180.0,TA,TA,TA,TA,No,578.0,0.0,426.0,1004.0,Ex,Y,1004.0,0.0,0.0,1004.0,1.0,0.0,1.0,0.0,2.0,1.0,TA,5.0,1.0,1970.0,Fin,2.0,480.0,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,Shed,700.0,3.0,2010.0,149000.0
90.0,RL,72.0,10791.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Duplex,4.0,5.0,1967.0,1967.0,None,0.0,TA,TA,,,,0.0,0.0,0.0,0.0,TA,Y,1296.0,0.0,0.0,1296.0,0.0,0.0,2.0,0.0,2.0,2.0,TA,6.0,0.0,1967.0,Unf,2.0,516.0,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,Shed,500.0,10.0,2006.0,90000.0
20.0,RL,66.0,13695.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,5.0,5.0,2004.0,2004.0,None,0.0,TA,TA,TA,TA,No,646.0,0.0,468.0,1114.0,Ex,Y,1114.0,0.0,0.0,1114.0,1.0,0.0,1.0,1.0,3.0,1.0,Gd,6.0,0.0,2004.0,Unf,2.0,576.0,Y,0.0,102.0,0.0,0.0,0.0,0.0,,,,0.0,6.0,2008.0,159000.0
20.0,RL,70.0,7560.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,5.0,6.0,1958.0,1965.0,None,0.0,TA,TA,TA,TA,No,504.0,0.0,525.0,1029.0,TA,Y,1339.0,0.0,0.0,1339.0,0.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,0.0,1958.0,Unf,1.0,294.0,Y,0.0,0.0,0.0,0.0,0.0,0.0,,MnPrv,,0.0,5.0,2009.0,139000.0
60.0,RL,101.0,14215.0,Pave,,IR1,Lvl,AllPub,Corner,Gtl,1Fam,8.0,5.0,2005.0,2006.0,BrkFace,380.0,Gd,TA,Ex,TA,Av,0.0,0.0,1158.0,1158.0,Ex,Y,1158.0,1218.0,0.0,2376.0,0.0,0.0,3.0,1.0,4.0,1.0,Gd,9.0,1.0,2005.0,RFn,3.0,853.0,Y,240.0,154.0,0.0,0.0,0.0,0.0,,,,0.0,11.0,2006.0,325300.0
45.0,RM,57.0,7449.0,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,1Fam,7.0,7.0,1930.0,1950.0,None,0.0,TA,TA,TA,TA,No,0.0,0.0,637.0,637.0,Ex,Y,1108.0,0.0,0.0,1108.0,0.0,0.0,1.0,0.0,3.0,1.0,Gd,6.0,1.0,1930.0,Unf,1.0,280.0,N,0.0,0.0,205.0,0.0,0.0,0.0,,GdPrv,,0.0,6.0,2007.0,139400.0
20.0,RL,75.0,9742.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,8.0,5.0,2002.0,2002.0,BrkFace,281.0,Gd,TA,Gd,TA,No,0.0,0.0,1777.0,1777.0,Ex,Y,1795.0,0.0,0.0,1795.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,1.0,2002.0,RFn,2.0,534.0,Y,171.0,159.0,0.0,0.0,0.0,0.0,,,,0.0,9.0,2008.0,230000.0
120.0,RM,44.0,4224.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,TwnhsE,5.0,7.0,1976.0,1976.0,None,0.0,TA,TA,Gd,TA,No,840.0,0.0,200.0,1040.0,TA,Y,1060.0,0.0,0.0,1060.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,1.0,1976.0,Unf,2.0,572.0,Y,100.0,110.0,0.0,0.0,0.0,0.0,,,,0.0,6.0,2007.0,129900.0
20.0,RL,,8246.0,Pave,,IR1,Lvl,AllPub,Inside,Gtl,1Fam,5.0,8.0,1968.0,2001.0,None,0.0,TA,Gd,TA,TA,Mn,188.0,668.0,204.0,1060.0,Ex,Y,1060.0,0.0,0.0,1060.0,1.0,0.0,1.0,0.0,3.0,1.0,Gd,6.0,1.0,1968.0,Unf,1.0,270.0,Y,406.0,90.0,0.0,0.0,0.0,0.0,,MnPrv,,0.0,5.0,2010.0,154000.0
20.0,RL,110.0,14230.0,Pave,,Reg,Lvl,AllPub,Corner,Gtl,1Fam,8.0,5.0,2007.0,2007.0,Stone,640.0,Gd,TA,Gd,TA,No,0.0,0.0,1566.0,1566.0,Ex,Y,1600.0,0.0,0.0,1600.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,1.0,2007.0,RFn,3.0,890.0,Y,0.0,56.0,0.0,0.0,0.0,0.0,,,,0.0,7.0,2009.0,256300.0
20.0,RL,60.0,7200.0,Pave,,Reg,Lvl,AllPub,Corner,Gtl,1Fam,5.0,7.0,1951.0,2000.0,None,0.0,TA,TA,TA,TA,Mn,234.0,486.0,180.0,900.0,TA,Y,900.0,0.0,0.0,900.0,0.0,1.0,1.0,0.0,3.0,1.0,Gd,5.0,0.0,2005.0,Unf,2.0,576.0,Y,222.0,32.0,0.0,0.0,0.0,0.0,,,,0.0,5.0,2010.0,134800.0
20.0,RL,98.0,11478.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,8.0,5.0,2007.0,2008.0,Stone,200.0,Gd,TA,Ex,TA,No,1218.0,0.0,486.0,1704.0,Ex,Y,1704.0,0.0,0.0,1704.0,1.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,1.0,2008.0,RFn,3.0,772.0,Y,0.0,50.0,0.0,0.0,0.0,0.0,,,,0.0,5.0,2010.0,306000.0
20.0,RL,47.0,16321.0,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,5.0,6.0,1957.0,1997.0,None,0.0,TA,TA,TA,TA,Gd,1277.0,0.0,207.0,1484.0,TA,Y,1600.0,0.0,0.0,1600.0,1.0,0.0,1.0,0.0,2.0,1.0,TA,6.0,2.0,1957.0,RFn,1.0,319.0,Y,288.0,258.0,0.0,0.0,0.0,0.0,,,,0.0,12.0,2006.0,207500.0
30.0,RM,60.0,6324.0,Pave,,IR1,Lvl,AllPub,Inside,Gtl,1Fam,4.0,6.0,1927.0,1950.0,None,0.0,TA,TA,TA,TA,No,0.0,0.0,520.0,520.0,Fa,N,520.0,0.0,0.0,520.0,0.0,0.0,1.0,0.0,1.0,1.0,Fa,4.0,0.0,1920.0,Unf,1.0,240.0,Y,49.0,0.0,87.0,0.0,0.0,0.0,,,,0.0,5.0,2008.0,68500.0
70.0,C (all),50.0,8500.0,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,4.0,4.0,1920.0,1950.0,None,0.0,TA,Fa,TA,TA,No,0.0,0.0,649.0,649.0,TA,N,649.0,668.0,0.0,1317.0,0.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,0.0,1920.0,Unf,1.0,250.0,N,0.0,54.0,172.0,0.0,0.0,0.0,,MnPrv,,0.0,7.0,2008.0,40000.0
20.0,RL,,8544.0,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,5.0,6.0,1966.0,2006.0,None,0.0,TA,TA,TA,TA,No,0.0,0.0,1228.0,1228.0,Gd,Y,1228.0,0.0,0.0,1228.0,0.0,0.0,1.0,1.0,3.0,1.0,Gd,6.0,0.0,1966.0,Unf,1.0,271.0,Y,0.0,65.0,0.0,0.0,0.0,0.0,,MnPrv,,0.0,6.0,2008.0,149350.0
20.0,RL,85.0,11049.0,Pave,,Reg,Lvl,AllPub,Corner,Gtl,1Fam,8.0,5.0,2007.0,2007.0,None,0.0,Gd,TA,Ex,TA,Av,0.0,0.0,1234.0,1234.0,Ex,Y,1234.0,0.0,0.0,1234.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,0.0,2007.0,RFn,2.0,484.0,Y,0.0,30.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,2008.0,179900.0
20.0,RL,70.0,10552.0,Pave,,IR1,Lvl,AllPub,Inside,Gtl,1Fam,5.0,5.0,1959.0,1959.0,None,0.0,TA,TA,TA,TA,No,1018.0,0.0,380.0,1398.0,Gd,Y,1700.0,0.0,0.0,1700.0,0.0,1.0,1.0,1.0,4.0,1.0,Gd,6.0,1.0,1959.0,RFn,2.0,447.0,Y,0.0,38.0,0.0,0.0,0.0,0.0,,,,0.0,4.0,2010.0,165500.0
120.0,RL,60.0,7313.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,TwnhsE,9.0,5.0,2005.0,2005.0,BrkFace,246.0,Ex,TA,Ex,TA,No,1153.0,0.0,408.0,1561.0,Ex,Y,1561.0,0.0,0.0,1561.0,1.0,0.0,2.0,0.0,2.0,1.0,Ex,6.0,1.0,2005.0,Fin,2.0,556.0,Y,203.0,47.0,0.0,0.0,0.0,0.0,,,,0.0,8.0,2007.0,277500.0
60.0,RL,108.0,13418.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,8.0,5.0,2004.0,2005.0,Stone,132.0,Gd,TA,Ex,TA,Av,0.0,0.0,1117.0,1117.0,Ex,Y,1132.0,1320.0,0.0,2452.0,0.0,0.0,3.0,1.0,4.0,1.0,Gd,9.0,1.0,2004.0,Fin,3.0,691.0,Y,113.0,32.0,0.0,0.0,0.0,0.0,,,,0.0,9.0,2006.0,309000.0
20.0,RL,112.0,10859.0,Pave,,Reg,Lvl,AllPub,Corner,Gtl,1Fam,5.0,5.0,1994.0,1995.0,None,0.0,TA,TA,Gd,TA,No,0.0,0.0,1097.0,1097.0,Ex,Y,1097.0,0.0,0.0,1097.0,0.0,0.0,1.0,1.0,3.0,1.0,TA,6.0,0.0,1995.0,Unf,2.0,672.0,Y,392.0,64.0,0.0,0.0,0.0,0.0,,,,0.0,6.0,2009.0,145000.0
20.0,RL,74.0,8532.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,5.0,6.0,1954.0,1990.0,BrkFace,650.0,TA,TA,TA,TA,No,1213.0,0.0,84.0,1297.0,Gd,Y,1297.0,0.0,0.0,1297.0,0.0,1.0,1.0,0.0,3.0,1.0,TA,5.0,1.0,1954.0,Fin,2.0,498.0,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,10.0,2009.0,153000.0
20.0,RL,68.0,7922.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,5.0,7.0,1953.0,2007.0,None,0.0,TA,Gd,TA,TA,No,731.0,0.0,326.0,1057.0,TA,Y,1057.0,0.0,0.0,1057.0,1.0,0.0,1.0,0.0,3.0,1.0,Gd,5.0,0.0,1953.0,Unf,1.0,246.0,Y,0.0,52.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,2010.0,109000.0
90.0,RL,65.0,6040.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Duplex,4.0,5.0,1955.0,1955.0,None,0.0,TA,TA,,,,0.0,0.0,0.0,0.0,TA,N,1152.0,0.0,0.0,1152.0,0.0,0.0,2.0,0.0,2.0,2.0,Fa,6.0,0.0,,,0.0,0.0,N,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,6.0,2008.0,82000.0
20.0,RL,84.0,8658.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,6.0,5.0,1965.0,1965.0,BrkFace,101.0,TA,TA,TA,TA,No,643.0,0.0,445.0,1088.0,Ex,Y,1324.0,0.0,0.0,1324.0,0.0,0.0,2.0,0.0,3.0,1.0,TA,6.0,1.0,1965.0,RFn,2.0,440.0,Y,0.0,138.0,0.0,0.0,0.0,0.0,,GdWo,,0.0,12.0,2006.0,160000.0
20.0,RL,115.0,16905.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,5.0,6.0,1959.0,1959.0,None,0.0,TA,Gd,TA,TA,Gd,967.0,0.0,383.0,1350.0,Gd,Y,1328.0,0.0,0.0,1328.0,0.0,1.0,1.0,1.0,2.0,1.0,TA,5.0,2.0,1959.0,RFn,1.0,308.0,P,0.0,104.0,0.0,0.0,0.0,0.0,,,,0.0,7.0,2007.0,170000.0
85.0,RL,,9180.0,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,5.0,7.0,1983.0,1983.0,None,0.0,TA,TA,Gd,TA,Av,747.0,93.0,0.0,840.0,Gd,Y,884.0,0.0,0.0,884.0,1.0,0.0,1.0,0.0,2.0,1.0,Gd,5.0,0.0,1983.0,RFn,2.0,504.0,Y,240.0,0.0,0.0,0.0,0.0,0.0,,MnPrv,,0.0,12.0,2007.0,144000.0
20.0,RL,,9200.0,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,5.0,6.0,1975.0,1980.0,None,0.0,TA,TA,Gd,TA,Av,280.0,491.0,167.0,938.0,TA,Y,938.0,0.0,0.0,938.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,5.0,0.0,1977.0,Unf,1.0,308.0,Y,145.0,0.0,0.0,0.0,0.0,0.0,,MnPrv,,0.0,7.0,2008.0,130250.0
20.0,RL,70.0,7945.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,5.0,6.0,1959.0,1959.0,None,0.0,TA,TA,TA,TA,No,179.0,506.0,465.0,1150.0,Ex,Y,1150.0,0.0,0.0,1150.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,0.0,1959.0,RFn,1.0,300.0,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,5.0,2006.0,141000.0
120.0,RL,61.0,7658.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,TwnhsE,9.0,5.0,2005.0,2005.0,BrkFace,412.0,Ex,TA,Ex,TA,No,456.0,0.0,1296.0,1752.0,Ex,Y,1752.0,0.0,0.0,1752.0,1.0,0.0,2.0,0.0,2.0,1.0,Ex,6.0,1.0,2005.0,RFn,2.0,576.0,Y,196.0,82.0,0.0,0.0,0.0,0.0,,,,0.0,2.0,2010.0,319900.0
50.0,RL,48.0,12822.0,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,7.0,5.0,2003.0,2003.0,None,0.0,Gd,TA,Ex,TA,No,1351.0,0.0,83.0,1434.0,Ex,Y,1518.0,631.0,0.0,2149.0,1.0,0.0,1.0,1.0,1.0,1.0,Gd,6.0,1.0,2003.0,RFn,2.0,670.0,Y,168.0,43.0,0.0,0.0,198.0,0.0,,,,0.0,8.0,2009.0,239686.0
20.0,FV,84.0,11096.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,8.0,5.0,2006.0,2006.0,None,0.0,Gd,TA,Gd,TA,Av,24.0,0.0,1632.0,1656.0,Ex,Y,1656.0,0.0,0.0,1656.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,0.0,2006.0,RFn,3.0,826.0,Y,0.0,146.0,0.0,0.0,0.0,0.0,,,,0.0,7.0,2007.0,249700.0
190.0,RM,33.0,4456.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,2fmCon,4.0,5.0,1920.0,2008.0,None,0.0,TA,TA,TA,TA,No,0.0,0.0,736.0,736.0,Gd,Y,736.0,716.0,0.0,1452.0,0.0,0.0,2.0,0.0,2.0,3.0,TA,8.0,0.0,,,0.0,0.0,N,0.0,0.0,102.0,0.0,0.0,0.0,,,,0.0,6.0,2009.0,113000.0
20.0,RL,66.0,7742.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,5.0,7.0,1966.0,1966.0,None,0.0,TA,TA,TA,TA,No,763.0,0.0,192.0,955.0,Ex,Y,955.0,0.0,0.0,955.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,0.0,1966.0,Unf,1.0,386.0,Y,0.0,0.0,0.0,0.0,0.0,0.0,,MnPrv,,0.0,1.0,2007.0,127000.0
60.0,RL,,13869.0,Pave,,IR2,Lvl,AllPub,Corner,Gtl,1Fam,6.0,6.0,1997.0,1997.0,None,0.0,TA,TA,Gd,TA,Av,182.0,0.0,612.0,794.0,Gd,Y,794.0,676.0,0.0,1470.0,0.0,1.0,2.0,0.0,3.0,1.0,TA,6.0,0.0,1997.0,Fin,2.0,388.0,Y,0.0,75.0,0.0,0.0,0.0,0.0,,,,0.0,7.0,2007.0,177000.0
50.0,RM,52.0,6240.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,1Fam,6.0,6.0,1934.0,1950.0,None,0.0,TA,TA,TA,TA,No,0.0,0.0,816.0,816.0,TA,Y,816.0,0.0,360.0,1176.0,0.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,1.0,1985.0,Unf,2.0,528.0,Y,112.0,0.0,0.0,0.0,0.0,0.0,,MnPrv,Shed,400.0,9.0,2006.0,114500.0
90.0,RM,110.0,8472.0,Grvl,,IR2,Bnk,AllPub,Corner,Mod,Duplex,5.0,5.0,1963.0,1963.0,None,0.0,Fa,TA,Gd,TA,Gd,104.0,712.0,0.0,816.0,TA,N,816.0,0.0,0.0,816.0,1.0,0.0,1.0,0.0,2.0,1.0,TA,5.0,0.0,1963.0,Unf,2.0,516.0,Y,106.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,5.0,2010.0,110000.0
20.0,RL,68.0,50271.0,Pave,,IR1,Low,AllPub,Inside,Gtl,1Fam,9.0,5.0,1981.0,1987.0,None,0.0,Gd,TA,Ex,TA,Gd,1810.0,0.0,32.0,1842.0,Gd,Y,1842.0,0.0,0.0,1842.0,2.0,0.0,0.0,1.0,0.0,1.0,Gd,5.0,1.0,1981.0,Fin,3.0,894.0,Y,857.0,72.0,0.0,0.0,0.0,0.0,,,,0.0,11.0,2006.0,385000.0
80.0,RL,60.0,7134.0,Pave,,Reg,Bnk,AllPub,Inside,Mod,1Fam,5.0,5.0,1955.0,1955.0,None,0.0,TA,TA,TA,TA,No,384.0,0.0,0.0,384.0,TA,Y,1360.0,0.0,0.0,1360.0,0.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,1.0,1962.0,Unf,2.0,572.0,Y,0.0,50.0,0.0,0.0,0.0,0.0,,MnPrv,,0.0,2.0,2007.0,130000.0
20.0,RL,100.0,10175.0,Pave,,IR1,Lvl,AllPub,Inside,Gtl,1Fam,6.0,5.0,1964.0,1964.0,BrkFace,272.0,TA,TA,TA,TA,No,490.0,0.0,935.0,1425.0,Gd,Y,1425.0,0.0,0.0,1425.0,0.0,0.0,2.0,0.0,3.0,1.0,TA,7.0,1.0,1964.0,RFn,2.0,576.0,Y,0.0,0.0,0.0,407.0,0.0,0.0,,,,0.0,7.0,2008.0,180500.0
